user_id,product_id,viewed_at,session_id,source,device,country
81,778,2025-07-02 03:34:17.987090,d279335b-3b26-4383-afa0-4dc77610e555,product_page,tablet,Algeria
399,523,2026-03-31 12:37:43.304772,81df34d1-1100-435a-8aaa-62101dd2faf9,home,mobile,France
904,433,2025-09-07 00:22:09.557949,a2c35cf3-5c6c-45ca-9a4e-240a028f29ea,recommendation,mobile,United Kingdom
702,179,2025-08-06 13:16:57.355187,e4acba13-25e4-4801-82d7-6dad099f891a,search,tablet,France
16,995,2026-02-01 03:15:38.781657,1afa58fe-c537-4136-863c-85f932946873,product_page,mobile,Algeria
642,582,2025-10-28 00:42:27.205760,a0279155-b0d0-4412-aa34-ad6be05aff27,home,tablet,Germany
689,671,2025-10-08 07:06:08.190498,d1d2f8e6-1633-4704-bfba-7801a3bbce64,product_page,tablet,Algeria
917,441,2025-05-15 13:00:22.138770,22a71e55-7370-469e-9592-3623a7231825,product_page,tablet,Spain
31,366,2025-07-10 00:20:02.673854,c0a73352-a924-4cf6-b9b3-bddd1d79924c,recommendation,tablet,Tunisia
447,473,2025-12-16 20:12:12.361939,e0311026-e210-49bd-a9ab-7cac80966aa1,product_page,mobile,Germany
827,299,2025-11-10 06:16:08.065232,9ad9af41-8a81-4268-9b4e-997d8d2d16d8,search,desktop,Germany
479,856,2025-07-03 23:14:43.028155,a6594203-9a3b-4b41-b257-f82f0f296530,recommendation,mobile,France
731,862,2025-11-09 00:48:52.254214,a9202327-aaeb-436f-bc65-714087806063,home,tablet,Morocco
63,996,2025-12-14 09:38:48.316384,d85ea6b4-7ae3-430f-9d5a-f43ba1582a50,home,mobile,Italy
577,845,2026-01-14 21:58:13.681446,c98b0699-9f4e-4e22-91a7-0a050e8b0978,recommendation,tablet,Algeria
212,849,2026-01-02 15:00:09.427646,7b255022-8c24-42e2-a1cb-42fb35fd5e73,home,tablet,Canada
605,893,2026-01-24 20:06:07.549142,e3417676-4415-4fd6-ac4f-d18586c2a82c,recommendation,tablet,France
607,932,2026-02-21 06:51:21.037476,87f6bc52-7e85-4e3c-bb71-8eaea92a1108,recommendation,tablet,United Kingdom
674,775,2025-12-13 05:40:22.186630,ddeea6b0-c8eb-40aa-9b27-a9f8218c2a74,recommendation,tablet,United States
849,157,2025-10-12 17:59:01.445799,01f15d5f-2d46-4389-94bd-5afa4e3d2bfd,recommendation,mobile,United States
160,841,2026-01-16 20:10:54.057478,e676ccee-e779-4638-9080-b8a77c5a4a89,product_page,desktop,Italy
520,3,2026-03-26 20:37:15.089156,4daee4c6-c78a-4af9-b61b-9c35fe9f18be,product_page,tablet,Canada
337,710,2025-10-20 23:19:34.685301,451dda8c-b64f-48f2-adc1-fd56000d5642,search,tablet,United Kingdom
709,690,2025-08-10 10:53:31.150391,66fd3515-02ca-4578-8648-23597f9d0fdb,search,tablet,Tunisia
790,804,2026-03-25 01:03:21.479685,6edb7bc0-91dc-468d-a66e-b75d18ad1d74,home,tablet,Germany
711,809,2025-05-11 02:16:33.297691,f5923b84-13f6-4ad3-aa7a-10da316e1f4b,search,mobile,Canada
13,856,2025-10-14 17:04:27.456122,bc879435-524a-4640-ac0f-5b15753cb47a,home,tablet,Canada
804,145,2025-11-08 22:40:50.583273,3e152125-f8fd-4fe3-b287-69620fdec74d,search,tablet,Tunisia
853,468,2025-05-04 06:43:38.520167,7ed2cbe1-fedb-4557-ac73-1b920ec89d00,home,mobile,France
593,979,2026-04-23 00:48:01.662474,ca8f0c51-4427-4900-b39b-f473b4dee2cc,recommendation,mobile,Algeria
207,431,2025-11-17 17:28:14.307843,b23d4047-f697-4181-9d6b-ede738ff4ad9,search,mobile,United Kingdom
542,908,2025-11-15 04:47:24.739085,6011ade0-5c04-4b66-a0dc-1c9e4a74d3b6,product_page,desktop,United Kingdom
428,659,2025-06-04 23:05:27.307694,214e4897-25e1-40d7-bca9-2f9d814929dc,product_page,tablet,Spain
268,469,2025-06-29 05:43:35.326602,c1623f80-5c54-4f2d-9bd8-b66e66f77bcb,search,desktop,Tunisia
420,994,2026-03-06 14:06:45.022949,f9e2112c-17ed-4f50-b5bd-cfcdcff5d7ee,recommendation,desktop,Italy
229,516,2026-04-11 11:51:14.438934,0b52196c-2073-479a-888f-a92a9dec43c6,product_page,tablet,Canada
475,302,2026-01-26 23:21:36.371457,bf056803-2d07-46e8-be56-0ffd7327cd1c,home,desktop,Canada
542,89,2025-07-03 03:36:31.426415,871985cc-ef42-4ad7-9af4-bdc88a7d4173,product_page,tablet,Morocco
312,425,2025-06-13 07:54:20.945123,b629347f-1786-41d3-a1eb-f57b72161ea8,search,tablet,Morocco
918,100,2025-06-11 03:29:38.646073,735d064d-def5-470a-b249-eec098729dd4,recommendation,tablet,Italy
268,321,2025-06-04 12:05:43.222840,56e87e19-1814-4fb4-ae15-929b9ecd5b66,search,tablet,Algeria
506,546,2025-06-29 12:08:37.572233,cb6bef9c-8edc-419c-b009-82cd1fce68ca,product_page,desktop,United States
408,362,2026-03-28 08:44:49.689786,3c2161c6-339d-465b-a9ef-ad24b2553764,search,mobile,United Kingdom
174,856,2025-10-08 17:53:17.683936,fd9100aa-1b43-4c39-86da-fdd49710ddac,search,tablet,Turkey
233,476,2025-08-26 19:37:04.905653,2e301fd0-66d8-4728-9325-ce0d5a2254c0,search,desktop,United Kingdom
785,498,2025-08-03 20:07:18.708099,4b770e35-07cb-43f4-b390-0520ef2f04ba,product_page,tablet,Canada
122,968,2026-04-08 15:15:54.179604,3fa203b5-0756-4e60-9fd9-b42670583993,product_page,mobile,Algeria
364,536,2025-07-17 01:33:00.892905,630822ba-0081-471d-b30b-ac9fcf9933a4,recommendation,desktop,United Kingdom
190,6,2025-07-27 02:28:15.605448,4cd843f6-062a-4f24-ac4f-db33e6b947b4,search,tablet,Germany
638,531,2026-03-12 16:27:51.142653,9bbb026f-9d30-42c1-8d40-77b9a195e2a1,home,mobile,Turkey
490,387,2026-02-13 02:38:59.228084,28cccea0-4017-47a5-b274-8e9586db46ed,product_page,desktop,United States
832,13,2025-06-23 21:17:24.654001,fa97623f-7347-488e-a4dc-b8a2c15db4c9,search,mobile,Germany
800,283,2025-07-11 14:23:36.339707,d2c9daf1-a9dd-43b0-8fb6-d9d822898001,recommendation,desktop,Canada
655,813,2025-06-04 11:25:44.588078,7d4307ce-862b-4e30-b137-24bee7ca7ea1,product_page,tablet,Italy
561,46,2025-07-26 13:11:07.421021,7b150618-6d9e-4a94-9a48-d5b37577a98f,home,mobile,Italy
210,196,2025-09-21 06:59:21.866116,a6cf7505-f968-445c-9332-1cd586ea106a,recommendation,desktop,United States
666,335,2025-12-20 07:21:24.666640,1f1d5ca7-9d91-417b-bc1c-b8e3d41706b6,recommendation,tablet,United Kingdom
864,408,2025-09-16 09:54:54.162610,33743377-1b91-48cb-b4a3-8c18723a9019,search,tablet,Morocco
582,998,2026-04-07 22:17:47.710783,17e98d62-a02c-4027-b8ab-b68bb7c6953d,recommendation,mobile,United Kingdom
466,738,2025-10-30 05:35:02.007237,7b78e3c4-d72e-4bb9-b26f-dff114758946,recommendation,mobile,Italy
860,724,2025-10-05 07:00:36.042295,b934f13a-9cf8-4cd5-a321-cc0392a0f05b,search,mobile,United States
755,526,2026-03-31 18:26:37.640142,cded23c1-10c9-4b1e-bcca-1f8b2e33ef94,home,tablet,Egypt
774,48,2025-11-16 12:08:43.203557,393b937c-5e71-4c21-82d7-32e350744846,home,mobile,Canada
679,328,2025-07-21 19:59:07.282294,9c4df933-5840-477a-8e6d-c442a0f7dad9,recommendation,mobile,United Kingdom
324,176,2025-10-05 15:35:21.763697,56799cc7-ee3c-46d3-8b83-b138903e6bc4,search,desktop,Germany
925,220,2025-10-20 16:14:16.450238,464426d7-4606-4fbd-afa3-65190ef1a93a,search,desktop,Germany
810,799,2025-07-12 18:05:17.891246,b1665264-e5c3-4a68-a74c-016f2b582d50,recommendation,mobile,Spain
150,352,2026-04-14 21:03:39.014737,7427eeb8-7365-4159-a9ba-bfcc3cae8476,home,mobile,France
231,318,2025-08-15 18:42:57.100031,4bf9a4ca-109a-475d-9498-e9c9c84d6c4c,home,mobile,Canada
663,119,2025-10-27 09:38:54.586874,8fa8ae69-c294-4bc3-b489-27b98d609d72,product_page,desktop,Canada
196,262,2026-02-19 02:58:53.253888,25a0f86f-5985-489d-8d27-686535981289,recommendation,mobile,France
504,275,2025-05-16 02:29:54.048565,46417a95-5f93-4f10-aad5-fc25c5ad82a9,product_page,desktop,Tunisia
660,218,2025-06-19 00:29:35.842236,246b499f-d387-4023-af56-0eafb7320cf0,search,desktop,United States
75,191,2026-04-06 09:49:02.440601,f605f884-ebec-4a69-8e4a-c748a86607ab,recommendation,desktop,Canada
97,736,2025-06-13 09:06:04.186413,ec584e86-b19d-4deb-8ebe-3d66515c2724,home,mobile,Italy
13,846,2026-01-28 05:06:33.580448,7c75ee92-d412-47d4-8b00-4312ba572a46,search,desktop,Turkey
207,884,2026-02-03 06:44:38.836255,0a078344-9172-4e8e-b021-200416063589,search,mobile,Tunisia
493,547,2026-01-02 07:34:21.692070,77cfeae0-29b3-484a-951a-74c1e8ffd290,home,desktop,United Kingdom
275,180,2025-12-22 18:15:47.288324,584af3f2-00d3-41e8-866c-4e1d695a4eeb,recommendation,tablet,Algeria
757,234,2025-12-19 18:37:56.620107,ef22cd43-83d9-472e-877f-1aab02463b2e,search,desktop,Tunisia
890,412,2025-10-20 16:57:58.033096,2912bbfd-9d52-40e8-afd1-00beb77554e3,recommendation,desktop,Spain
853,857,2025-12-19 11:21:05.593464,cfaf6161-4daa-4fad-910e-924da82ac613,search,mobile,Tunisia
720,196,2026-02-03 10:47:13.050438,f23d2d4c-c5e8-4bf9-9c2e-b74195bfd8de,recommendation,tablet,Turkey
446,344,2026-03-01 18:23:02.187116,00197d25-62e9-458e-a2f3-c05f97b0eb94,recommendation,desktop,Morocco
235,261,2025-09-30 00:48:48.264137,95692e77-4551-4b1f-abaa-256eb6ddf09e,search,desktop,Spain
