user_id,product_id,product_name,category
118,47,Interesting,Beauty
312,42,Religious,Electronics
64,520,Few,Beauty
436,91,Assume,Beauty
507,529,Law,Home
306,123,Significant,Clothing
539,533,Service,Electronics
102,492,Base,Beauty
890,555,This,Sports
964,942,Many,Beauty
798,888,Leave,Home
343,715,Trouble,Home
111,312,Outside,Beauty
403,93,Institution,Sports
566,725,Consumer,Electronics
867,501,Bill,Clothing
110,737,Deep,Sports
987,197,One,Sports
197,850,Evidence,Clothing
374,857,Nation,Electronics
61,162,Participant,Electronics
918,713,Great,Home
346,748,Indicate,Beauty
894,434,By,Beauty
122,508,Congress,Sports
409,662,Anyone,Sports
25,352,Send,Clothing
891,569,Mrs,Electronics
703,291,Establish,Home
28,507,Difficult,Home
556,23,Service,Sports
397,757,For,Sports
507,569,One,Home
899,66,Clearly,Home
674,439,Understand,Sports
837,128,Measure,Home
974,117,Between,Sports
861,460,Manager,Electronics
844,63,Option,Sports
244,809,Painting,Electronics
922,826,Body,Clothing
947,449,Animal,Sports
213,701,Imagine,Clothing
520,178,Program,Sports
515,929,Few,Clothing
808,316,Including,Electronics
80,764,Hot,Home
139,386,Trip,Home
590,420,Stage,Electronics
293,1000,If,Electronics
27,993,Five,Clothing
697,208,Forget,Clothing
251,972,Bag,Clothing
299,557,Author,Clothing
168,973,Maintain,Beauty
154,838,Maybe,Electronics
970,546,Plant,Electronics
222,964,Sort,Clothing
549,451,Local,Electronics
286,931,Whether,Electronics
839,879,Population,Beauty
670,664,Floor,Electronics
68,679,Not,Electronics
313,590,First,Beauty
89,767,Choice,Beauty
298,504,Indeed,Beauty
104,54,Player,Beauty
104,559,Education,Sports
50,514,Remain,Home
69,331,Particular,Electronics
864,735,Between,Beauty
659,366,Fish,Home
106,560,Rock,Beauty
465,874,Brother,Clothing
355,582,End,Home
665,567,Party,Clothing
726,256,Network,Electronics
156,60,Blood,Sports
14,376,Short,Sports
534,518,Main,Sports
378,932,System,Electronics
401,546,Land,Beauty
840,57,Draw,Sports
27,997,Class,Beauty
316,435,Create,Sports
409,786,Nearly,Beauty
455,763,Edge,Clothing
27,606,Cost,Electronics
55,514,Foot,Electronics
732,427,Space,Clothing
507,529,Product,Home
992,242,Easy,Beauty
434,659,Kid,Beauty
918,197,Through,Beauty
41,875,Think,Beauty
523,698,Prove,Clothing
988,885,Staff,Clothing
688,925,Brother,Clothing
616,849,Sense,Beauty
136,862,Site,Home
80,830,Image,Sports
400,898,Data,Home
774,4,Matter,Electronics
837,260,Teach,Clothing
330,89,Message,Beauty
607,309,Wrong,Beauty
67,392,Cover,Sports
629,330,Career,Home
688,65,Mission,Electronics
271,583,Finally,Home
931,704,Early,Beauty
374,482,Until,Clothing
92,260,Need,Electronics
774,599,Real,Sports
938,170,Skill,Home
987,992,Hand,Beauty
62,971,Movement,Sports
84,178,Begin,Beauty
269,280,Weight,Clothing
328,743,Person,Electronics
437,420,Attention,Clothing
241,487,Behavior,Clothing
195,398,Political,Electronics
979,625,Financial,Beauty
95,1000,Positive,Home
535,406,Animal,Electronics
742,796,Build,Electronics
441,835,Sign,Home
252,688,Debate,Home
877,462,Run,Electronics
883,580,Leader,Sports
63,69,See,Beauty
78,160,Away,Beauty
136,638,Teacher,Electronics
79,589,Certainly,Sports
884,806,Mouth,Sports
829,696,Evening,Beauty
410,950,Visit,Beauty
438,259,Offer,Clothing
